trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,15.0398874,15.0398874,0.0214706,-0.100925926,-0.124074074,1,0,0,2.6198724,target,5,1,2023-09-27_10h51.59.062,Visual Search Experiments,2023.01.03,59.9841162
1,0,1,0,10,17.6895789,17.6895789,0.0305752,-0.425925926,-0.063888889,1,0,0,1.155919,target,5,1,2023-09-27_10h51.59.062,Visual Search Experiments,2023.01.03,59.9841162
2,0,2,0,10,18.8723587,18.8723587,0.0265652,-0.39537037,-0.236111111,1,0,0,2.4392832,target,5,1,2023-09-27_10h51.59.062,Visual Search Experiments,2023.01.03,59.9841162
3,0,3,0,10,20.3393434,20.3393434,0.0260511,-0.012962963,-0.082407407,1,0,0,2.6566479,target,5,1,2023-09-27_10h51.59.062,Visual Search Experiments,2023.01.03,59.9841162
4,0,4,0,5,22.0066429,22.0066429,0.0128469,0.327777778,-0.036111111,1,0,0,1.8362932,target,5,1,2023-09-27_10h51.59.062,Visual Search Experiments,2023.01.03,59.9841162
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,num_distr,mouse.time,mouse.clicked_name,,,,
5,2.3217518,target,,,5,2.0428371,target,,,5,1.2077516,target,,5,1.3090117,target,,,,
5,1.3400566,target,,,5,0.8572397,target,,,5,1.2422127,target,,5,1.3441396,target,,,,
5,1.5940945,target,,,5,1.1889569,target,,,5,1.4252654,target,,5,1.0752286,target,,,,
5,0.8754008,target,,,5,1.3243886,target,,,5,2.3239451,target,,5,1.1153097,target,,,,
5,3.0617101,target,,,5,1.311351,target,,,5,1.5105684,target,,5,1.0105847,target,,,,
5,1.5100446,target,,,5,1.5399453,target,,,5,2.0587587,target,,5,0.7620064,target,,,,
5,1.2092046,target,,,5,1.2430425,target,,,5,1.10938,target,,5,1.1747058,target,,,,
5,1.0757424,target,,,5,0.9121047,target,,,5,1.7269189,target,,5,0.7939586,target,,,,
5,1.343817,target,,,5,0.9577334,target,,,5,0.9252163,target,,5,0.8435934,target,,,,
5,2.3114387,target,,,5,1.272362,target,,,5,0.9255911,target,,5,1.1073852,target,,,,
5,1.4908552,target,,,5,1.8105692,target,,,5,1.3077922,target,,5,2.2406741,target,,,,
5,1.4436834,target,,,5,1.1278124,target,,,5,2.1727751,target,,5,1.5294688,target,,,,
5,1.3102382,target,,,5,1.1938397,target,,,5,1.425828,target,,5,1.6260795,target,,,,
5,1.5264863,target,,,5,1.2769814,target,,,5,0.9635408,target,,5,1.3235293,target,,,,
5,1.2923237,target,,,5,1.6460188,target,,,5,2.0234481,target,,5,1.1106324,target,,,,
5,1.37807,target,,,5,1.3100083,target,,,5,1.0461402,target,,5,1.1289527,target,,,,
5,1.8919094,target,,,5,1.7266743,target,,,5,1.6768996,target,,5,1.2399051,target,,,,
5,2.1453516,target,,,5,1.7080193,target,,,5,1.6624126,target,,5,1.5115865,target,,,,
5,1.0904672,target,,,5,"1.174704999953974, 2.242087699996773",target,,,5,1.1935231,target,,5,3.3604126,target,,,,
5,1.7769816,target,,,5,1.0080927,target,,,5,1.1106341,target,,5,1.4595954,target,,,,
5,1.0127031,target,,,5,0.7097414,target,,,5,1.0952418,target,,5,1.5272711,target,,,,
5,1.4429864,target,,,5,1.0277444,target,,,5,1.1752457,target,,5,1.7891968,target,,,,
5,1.6781375,target,,,5,1.1132939,target,,,5,1.0591525,target,,5,1.438785,target,,,,
5,1.0247591,target,,,5,1.5450919,target,,,5,1.675906,target,,10,1.406111,target,,,,
5,0.960613,target,,,5,2.2919505,target,,,10,1.7136458,target,,10,1.3448185,target,,,,
5,1.0434406,target,,,5,3.2420762,target,,,10,1.1728676,target,,10,1.7258079,target,,,,
5,1.0071348,target,,,10,1.7126082,target,,,10,1.9546586,target,,10,1.4611284,target,,,,
10,1.6404255,target,,,10,1.0891922,target,,,10,1.4054734,target,,10,6.3785475,target,,,,
10,1.5620713,target,,,10,1.1405729,target,,,10,1.4193167,target,,10,2.4901829,target,,,,
10,1.0704763,target,,,10,0.9434652,target,,,10,1.3414987,target,,10,1.223537,target,,,,
10,2.0728917,target,,,10,0.8297341,target,,,10,1.2550834,target,,10,1.8225877,target,,,,
10,1.3308474,target,,,10,1.0241595,target,,,10,1.2239249,target,,10,1.1699814,target,,,,
10,1.8286667,target,,,10,1.156612,target,,,10,1.0259675,target,,10,2.789658,target,,,,
10,1.593318,target,,,10,1.5891028,target,,,10,1.2270598,target,,10,0.8711585,target,,,,
10,1.2040265,target,,,10,1.0625988,target,,,10,1.0448261,target,,10,1.2068259,target,,,,
10,1.7245053,target,,,10,1.4638857,target,,,10,1.0346628,target,,10,1.645809,target,,,,
10,1.1258826,target,,,10,2.1895588,target,,,10,1.4239874,target,,10,2.076461,target,,,,
10,1.4272375,target,,,10,1.4734722,target,,,10,1.2653062,target,,10,1.6894302,target,,,,
10,1.1292567,target,,,10,1.2524517,target,,,10,2.3075557,target,,10,1.0071519,target,,,,
10,1.033487,target,,,10,1.5721735,target,,,10,1.0566766,target,,10,1.3423494,target,,,,
10,1.7374907,target,,,10,0.9767275,target,,,10,0.9436474,target,,10,1.2906434,target,,,,
10,1.1939054,target,,,10,1.0402251,target,,,10,0.7892473,target,,10,7.0080476,target,,,,
10,1.6709905,target,,,10,1.5095075,target,,,10,5.5231522,target,,10,1.1277516,target,,,,
10,1.1542503,target,,,10,1.2945661,target,,,10,1.4879035,target,,10,1.22796,target,,,,
10,1.0919591,target,,,10,1.1262645,target,,,10,1.3079688,target,,10,1.2883169,target,,,,
10,0.9290618,target,,,10,1.2406768,target,,,10,1.0076795,target,,10,1.3929086,target,,,,
10,1.490693,target,,,10,1.0562559,target,,,10,1.2059352,target,,10,1.7901057,target,,,,
10,1.3285937,target,,,10,2.8488752,target,,,10,0.9899023,target,,10,4.1260825,target,,,,
10,2.0091825,target,,,10,1.5393496,target,,,10,1.3259975,target,,10,1.4591556,target,,,,
10,1.05721,target,,,10,1.6265441,target,,,10,1.8645732,target,,10,1.7033318,target,,,,
Mean RT of Participant 1,1.05721,,,,Mean of RT Participant 2,1.39074399,,,,Mean of RT Participant 3,1.447253322,,,Mean RT of Participant 4,1.717757258,, ,,,
Mean of 5 Set Size,1.487385267,,,,Mean of 5 Set Size,1.415515024,,,,Mean of 5 Set Size,1.418506167,,,Mean of 5 Set Size,1.383565783,,,,,
Mean of 10 Set Size,1.408975196,,,,Mean of 10 Set Size,1.364940829,,,,Mean of 10 Set Size,1.473789158,,,Mean of 10 Set Size,2.002438885,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Set 5,Set 10,,,,,,,,,,,,,,,,,
,1.05721,1.487385267,1.408975196,,,,,,,,,,,,,,,,,
,1.39074399,1.41551502,1.36494083,,Mean RT,1.40523342,,,,,,,,,,,,,,
,1.455222428,1.41850617,1.47378916,,Mean of Set 5,1.426243059,1.494389539,Slope =,0.027258592,,,,,,,,,,,
,1.71775726,1.38356578,2.00243889,,Mean of Set 10,1.562536019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
